object_id,title,year,download_url
177,Dildos Not Bombs #2,unknown,https://archive.qzap.org/index.php/Detail/Object/DownloadRepresentation/representation_id/130/object_id/177/download/1/version/original
179,Montgomery Clift Was Queer,1994,https://archive.qzap.org/index.php/Detail/Object/DownloadRepresentation/representation_id/143/object_id/179/download/1/version/original
180,Hot Dog #2,1991,https://archive.qzap.org/index.php/Detail/Object/DownloadRepresentation/representation_id/197/object_id/180/download/1/version/original
181,Making History,2008,https://archive.qzap.org/index.php/Detail/Object/DownloadRepresentation/representation_id/71/object_id/181/download/1/version/original
182,Gender Anarky Spring 2009,2009,https://archive.qzap.org/index.php/Detail/Object/DownloadRepresentation/representation_id/193/object_id/182/download/1/version/original
184,Queers Read This!,unknown,https://archive.qzap.org/index.php/Detail/Object/DownloadRepresentation/representation_id/133/object_id/184/download/1/version/original
185,Poly Oly Oxen Free!,2010,https://archive.qzap.org/index.php/Detail/Object/DownloadRepresentation/representation_id/362/object_id/185/download/1/version/original
186,Cosmo Queer,2004,https://archive.qzap.org/index.php/Detail/Object/DownloadRepresentation/representation_id/330/object_id/186/download/1/version/original
187,YELL Zine #1,1994,https://archive.qzap.org/index.php/Detail/Object/DownloadRepresentation/representation_id/81/object_id/187/download/1/version/original
188,Hell Yeah!,2009,https://archive.qzap.org/index.php/Detail/Object/DownloadRepresentation/representation_id/347/object_id/188/download/1/version/original
189,How I Learned to Love Myself and Occasionally Other Men #1,2005,https://archive.qzap.org/index.php/Detail/Object/DownloadRepresentation/representation_id/342/object_id/189/download/1/version/original
190,Fanorama #11,1995,https://archive.qzap.org/index.php/Detail/Object/DownloadRepresentation/representation_id/334/object_id/190/download/1/version/original
191,Young Woman (Shira Mario #1),2011,https://archive.qzap.org/index.php/Detail/Object/DownloadRepresentation/representation_id/287/object_id/191/download/1/version/original
192,Screams From Inside #3,unknown,https://archive.qzap.org/index.php/Detail/Object/DownloadRepresentation/representation_id/166/object_id/192/download/1/version/original
193,Her Posse #1,unknown,https://archive.qzap.org/index.php/Detail/Object/DownloadRepresentation/representation_id/348/object_id/193/download/1/version/original
194,LGBTQIA Survival Guide,2011,https://archive.qzap.org/index.php/Detail/Object/DownloadRepresentation/representation_id/210/object_id/194/download/1/version/original
195,Restrain Yourself (or someone else!),2010,https://archive.qzap.org/index.php/Detail/Object/DownloadRepresentation/representation_id/374/object_id/195/download/1/version/original
196,The Need Corpse,2012,https://archive.qzap.org/index.php/Detail/Object/DownloadRepresentation/representation_id/449/object_id/196/download/1/version/original
197,Gone to the Moon,2008,https://archive.qzap.org/index.php/Detail/Object/DownloadRepresentation/representation_id/322/object_id/197/download/1/version/original
198,Satan Heartbreak'r ... Tarts It Up,2001,https://archive.qzap.org/index.php/Detail/Object/DownloadRepresentation/representation_id/209/object_id/198/download/1/version/original
199,Violin Outbreak #10,1993,https://archive.qzap.org/index.php/Detail/Object/DownloadRepresentation/representation_id/456/object_id/199/download/1/version/original
200,Project 76 #2 - The Politics of My Body,unknown,https://archive.qzap.org/index.php/Detail/Object/DownloadRepresentation/representation_id/440/object_id/200/download/1/version/original
201,Abrupt Lane Edge #1,1992,https://archive.qzap.org/index.php/Detail/Object/DownloadRepresentation/representation_id/482/object_id/201/download/1/version/original
203,Behind The Bars,2006,https://archive.qzap.org/index.php/Detail/Object/DownloadRepresentation/representation_id/257/object_id/203/download/1/version/original
204,Barra Issue #0 (Premiere Issue),2005,https://archive.qzap.org/index.php/Detail/Object/DownloadRepresentation/representation_id/13/object_id/204/download/1/version/original
205,Hello Pussy! #1,2003,https://archive.qzap.org/index.php/Detail/Object/DownloadRepresentation/representation_id/59/object_id/205/download/1/version/original
206,Nada Es Natural #2,2004,https://archive.qzap.org/index.php/Detail/Object/DownloadRepresentation/representation_id/61/object_id/206/download/1/version/original
207,Gender Fuck Me,2003,https://archive.qzap.org/index.php/Detail/Object/DownloadRepresentation/representation_id/22/object_id/207/download/1/version/original
208,Fag School #1,2000,https://archive.qzap.org/index.php/Detail/Object/DownloadRepresentation/representation_id/23/object_id/208/download/1/version/original
209,The Volcano #3,1999,https://archive.qzap.org/index.php/Detail/Object/DownloadRepresentation/representation_id/472/object_id/209/download/1/version/original
210,5 Fingers Folding #1,unknown,https://archive.qzap.org/index.php/Detail/Object/DownloadRepresentation/representation_id/3/object_id/210/download/1/version/original
211,Mutate #3,1999,https://archive.qzap.org/index.php/Detail/Object/DownloadRepresentation/representation_id/60/object_id/211/download/1/version/original
212,Susan Mini Mag #1,1992,https://archive.qzap.org/index.php/Detail/Object/DownloadRepresentation/representation_id/108/object_id/212/download/1/version/original
214,Trans(in)formation,2004,https://archive.qzap.org/index.php/Detail/Object/DownloadRepresentation/representation_id/54/object_id/214/download/1/version/original
215,From Here To There And Back Again ... #1,2005,https://archive.qzap.org/index.php/Detail/Object/DownloadRepresentation/representation_id/231/object_id/215/download/1/version/original
216,Crushpuppy,2000,https://archive.qzap.org/index.php/Detail/Object/DownloadRepresentation/representation_id/213/object_id/216/download/1/version/original
217,Pink And Black Attack #1,2009,https://archive.qzap.org/index.php/Detail/Object/DownloadRepresentation/representation_id/264/object_id/217/download/1/version/original
218,Sassyfrass Circus #2,2008,https://archive.qzap.org/index.php/Detail/Object/DownloadRepresentation/representation_id/77/object_id/218/download/1/version/original
219,Unapologetic #1,1997,https://archive.qzap.org/index.php/Detail/Object/DownloadRepresentation/representation_id/299/object_id/219/download/1/version/original
